id,brand,model,date,year,display_size_inches,display_size_inches_scale,internal_memory_in_gb,internal_memory_in_gb_scale,primary_camera_mega_pixel,primary_camera_mega_pixel_scale,primary_camera,loud_speaker,gps,colors,approx_price_eur,approx_price_eur_scale,battery_mah,battery_mah_scale,ram_in_gb,ram_in_gb_scale,weight_g,weight_g_scale,cluster,cluster_scale
Nokia 3100,Nokia,3100,2003-09-01,2003.0,1.5,-0.9118000722389347,0.0004579933079986,-1.036653382050343,,,,Yes,No,3 - Blue| Red| White,,,850.0,-0.3397403843385296,,,85.0,-1.1960685793378811,1,0.0
Nokia 3108,Nokia,3108,2003-01-01,2003.0,1.45,-1.0023301201445316,,,,,,Yes,No,V1,,,760.0,-0.8768974784953941,,,93.0,-0.9144282799013387,1,0.0
Nokia 3200,Nokia,3200,2003-12-01,2003.0,1.56,-0.8031640147522183,0.0009727626459143,-1.0017290877646459,,,CIF| night mode,Yes,No,V1,,,780.0,-0.7575292353494243,,,90.0,-1.020043392190042,1,0.0
Nokia 3300,Nokia,3300,2003-01-01,2003.0,1.7,-0.5496798806165474,0.0048638132295719,-0.7377425103697703,,,No,Yes,No,Orange and Black Blue,,,780.0,-0.7575292353494243,,,125.0,0.21213291784483163,1,0.0
Nokia 3650,Nokia,3650,2003-01-01,2003.0,2.1,0.17456050262822742,0.0038910505836575,-0.8037391547184892,,,VGA,Yes,No,Dark Blue| Grey and Yellow,,,850.0,-0.3397403843385296,,,130.0,0.3881581049926707,1,0.0
Nokia 3660,Nokia,3660,2003-12-01,2003.0,2.1,0.17456050262822742,0.0038910505836575,-0.8037391547184892,,,VGA,Yes,No,Red| Blue,,,850.0,-0.3397403843385296,,,130.0,0.3881581049926707,1,0.0
Nokia 5100,Nokia,5100,2003-01-01,2003.0,1.5,-0.9118000722389347,0.0006860436948326,-1.0211814060892146,,,,Yes,No,Xpress-on covers,,,760.0,-0.8768974784953941,,,104.0,-0.5271728681760927,1,0.0
Nokia 5140,Nokia,5140,2003-01-01,2003.0,1.5,-0.9118000722389347,,,,,VGA,Yes,No,V1,,,760.0,-0.8768974784953941,,,100.0,-0.6679930178943639,1,0.0
Nokia 6220,Nokia,6220,2003-09-01,2003.0,1.5,-0.9118000722389347,,,,,CIF,No,No,2 - Blue and Plum,,,780.0,-0.7575292353494243,,,92.0,-0.9496333173309065,1,0.0
Nokia 6230,Nokia,6230,2003-12-01,2003.0,1.5,-0.9118000722389347,0.0058365758754863,-0.6717458660210517,,,VGA,Yes,No,2 - Graphite| Pearl White,,,850.0,-0.3397403843385296,,,97.0,-0.7736081301830674,1,0.0
Nokia 6600,Nokia,6600,2003-12-01,2003.0,2.1,0.17456050262822742,0.0058365758754863,-0.6717458660210517,,,VGA,Yes,No,Light Gray,,,850.0,-0.3397403843385296,,,122.0,0.10651780555612815,1,0.0
Nokia 6800,Nokia,6800,2003-01-01,2003.0,1.7,-0.5496798806165474,,,,,,Yes,No,V1,,,1000.0,0.5555214392562446,,,122.0,0.10651780555612815,1,0.0
Nokia 6810,Nokia,6810,2003-01-01,2003.0,1.6,-0.7307399764277408,0.0048638132295719,-0.7377425103697703,,,,Yes,No,V1,,,1000.0,0.5555214392562446,,,122.0,0.10651780555612815,1,0.0
Nokia 6820,Nokia,6820,2003-01-01,2003.0,1.6,-0.7307399764277408,0.0048638132295719,-0.7377425103697703,,,CIF,Yes,No,V1,,,850.0,-0.3397403843385296,,,100.0,-0.6679930178943639,1,0.0
Nokia 7200,Nokia,7200,2003-01-01,2003.0,1.5,-0.9118000722389347,0.0038910505836575,-0.8037391547184892,,,VGA,Yes,No,Grey Blue| Black| and Brown + White (limited edition),,,760.0,-0.8768974784953941,,,115.0,-0.1399174564508466,1,0.0
Nokia 7600,Nokia,7600,2003-12-01,2003.0,2.0,-0.006499593182966386,0.0282101167315175,0.8461769539994815,,,VGA,Yes,No,V1,,,850.0,-0.3397403843385296,,,123.0,0.14172284298569596,1,0.0
Nokia 7700,Nokia,7700,2003-01-01,2003.0,3.5,2.7094018439849386,0.0243190661478599,0.5821903766046063,,,VGA,Yes,No,2 - Black| White,,,1300.0,2.3460450864457933,,,183.0,2.2540250887597653,1,0.0
Nokia 8910i,Nokia,8910i,2003-01-01,2003.0,1.25,-1.3644503117669189,,,,,,No,No,V1,,,830.0,-0.45910862748449954,,,112.0,-0.24553256873955007,1,0.0
Nokia N-Gage,Nokia,N-Gage,2003-01-01,2003.0,2.1,0.17456050262822742,0.0038910505836575,-0.8037391547184892,,,,Yes,No,V1,,,850.0,-0.3397403843385296,,,137.0,0.6345933669996454,1,0.0
O2 XDA II,O2,XDA II,2003-01-01,2003.0,3.5,2.7094018439849386,0.0622568093385214,3.1560595062046337,,,VGA,Yes,No,V1,,,1200.0,1.7492038707159436,0.1245136186770428,2.0784609690826525,190.0,2.50046035076674,1,0.0
O2 Xphone,O2,Xphone,2003-01-01,2003.0,2.2,0.35562059843942123,0.0311284046692607,1.044166887045638,,,VGA,Yes,No,V1,,,1000.0,0.5555214392562446,0.0622568093385214,0.46188021535170126,130.0,0.3881581049926707,1,0.0
Qtek 1010,Qtek,1010,2003-01-01,2003.0,3.5,2.7094018439849386,0.0311284046692607,1.044166887045638,,,,Yes,No,V1,,,1500.0,3.5397275179054923,0.0622568093385214,0.46188021535170126,201.0,2.887715762491986,1,0.0
Samsung D410,Samsung,D410,2003-01-01,2003.0,2.1,0.17456050262822742,,,,,VGA,No,No,3 - Metallic Silver | Mirror Gray| Indigo Blue,,,900.0,-0.04131977647360486,,,116.0,-0.10471241902127877,1,0.0
Samsung X100,Samsung,X100,2003-09-01,2003.0,1.7,-0.5496798806165474,,,,,,No,No,V1,,,900.0,-0.04131977647360486,,,83.0,-1.2664786541970168,1,0.0
Sendo X,Sendo,X,2003-12-01,2003.0,2.2,0.35562059843942123,0.0311284046692607,1.044166887045638,,,VGA| LED flash,No,No,,,,1050.0,0.8539420471211694,,,120.0,0.03610773069699251,1,0.0
Siemens SX1,Siemens,SX1,2003-09-01,2003.0,2.2,0.35562059843942123,0.0155642023346303,-0.011779422533863349,,,VGA,No,No,Ice blue,,,1000.0,0.5555214392562446,,,116.0,-0.10471241902127877,1,0.0
Sony Ericsson P900,Sony Ericsson,P900,2003-12-01,2003.0,2.9,1.6230412691177762,0.0155642023346303,-0.011779422533863349,,,VGA,No,No,Urban Grey,,,1000.0,0.5555214392562446,,,150.0,1.0922588535840272,1,0.0
Sony Ericsson T105,Sony Ericsson,T105,2003-06-01,2003.0,1.4,-1.0928601680501284,,,,,,No,No,2 - Steel Grey| Vibrant Turquoise,,,700.0,-1.2350022079333038,,,75.0,-1.5481189536335593,1,0.0
Sony Ericsson T230,Sony Ericsson,T230,2003-09-01,2003.0,1.5,-0.9118000722389347,,,,,,No,No,2 - Blade Gray| Steel Blue,,,670.0,-1.4140545726522586,,,79.0,-1.407298803915288,1,0.0
Sony Ericsson T610,Sony Ericsson,T610,2003-06-01,2003.0,1.8,-0.3686197848053536,0.0019455252918287,-0.935732443415927,,,CIF,No,No,3,,,770.0,-0.8172133569224093,,,95.0,-0.844018205042203,1,0.0
Sony Ericsson T630,Sony Ericsson,T630,2003-12-01,2003.0,1.78,-0.4048318039675924,0.0019455252918287,-0.935732443415927,,,CIF,No,No,Frosty Silver| Black,,,750.0,-0.9365816000683791,,,92.0,-0.9496333173309065,1,0.0
Sony Ericsson Z1010,Sony Ericsson,Z1010,2003-12-01,2003.0,2.2,0.35562059843942123,0.0311284046692607,1.044166887045638,,,2 VGA cameras| video,No,No,V1,,,1000.0,0.5555214392562446,,,144.0,0.8810286290066202,1,0.0
Telit G90,Telit,G90,2003-01-01,2003.0,2.2,0.35562059843942123,0.0311284046692607,1.044166887045638,,,CIF,No,No,Silver,,,1000.0,0.5555214392562446,0.0155642023346303,-0.7505553499465135,135.0,0.5641832921405098,1,0.0
BenQ A500,BenQ,A500,2004-12-01,2004.0,1.9,-0.598878227751451,0.0194552529182879,-0.4347642356401895,,,VGA,No,No,3 - Electric Blue| Cool Pink| Funky Gold,,,700.0,-1.0222411077258895,,,98.0,-0.7360599252030443,1,0.0
BenQ M100,BenQ,M100,2004-01-01,2004.0,1.5,-1.192612716123442,,,,,,No,No,White| Dark blue| Claret| Gray,,,760.0,-0.8015506512663636,,,86.0,-1.043756482767315,1,0.0
BenQ M300,BenQ,M300,2004-01-01,2004.0,1.5,-1.192612716123442,,,,,CIF,No,No,Arctic White,,,760.0,-0.8015506512663636,,,86.0,-1.043756482767315,1,0.0
BenQ P50,BenQ,P50,2004-01-01,2004.0,2.8,0.7370243710855289,0.0622568093385214,0.9539906967221511,3.0,-0.03532223996729148,1.3 MP,Yes,No,V1,,,1240.0,0.9639730004098431,0.0622568093385214,-0.062454273862918915,170.0,1.1101194201825797,1,0.0
BlackBerry 8700c,BlackBerry,8700c,2004-12-01,2004.0,2.6,0.44015712689953373,0.0622568093385214,0.9539906967221511,,,No,Yes,No,V1,,,1100.0,0.44902860200428285,0.0155642023346303,-1.420834730381413,134.0,0.18702974748976767,1,0.0
Eten M500,Eten,M500,2004-12-01,2004.0,2.8,0.7370243710855289,0.1245136186770428,2.9739978710673722,3.0,-0.03532223996729148,1.3 MP,Yes,No,V1,,,1440.0,1.6996078552749294,0.0622568093385214,-0.062454273862918915,170.0,1.1101194201825797,1,0.0
Eten P300,Eten,P300,2004-06-01,2004.0,2.8,0.7370243710855289,0.0311284046692607,-0.05601289045045935,,,VGA,Yes,No,,,,1050.0,0.2651198882880113,0.0622568093385214,-0.062454273862918915,165.0,0.9819125211974669,1,0.0
Eten P300B,Eten,P300B,2004-06-01,2004.0,2.8,0.7370243710855289,0.0622568093385214,0.9539906967221511,,,,Yes,No,V1,,,1300.0,1.184663456869369,0.0622568093385214,-0.062454273862918915,165.0,0.9819125211974669,1,0.0
Eten P700,Eten,P700,2004-01-01,2004.0,3.5,1.7760597257365136,0.0622568093385214,0.9539906967221511,,,,Yes,No,V1,,,1440.0,1.6996078552749294,0.0622568093385214,-0.062454273862918915,200.0,1.8793608140932563,1,0.0
HP iPAQ h6310,HP,iPAQ h6310,2004-12-01,2004.0,3.5,1.7760597257365136,0.0622568093385214,0.9539906967221511,,,,Yes,No,Silver,,,1800.0,3.0237505940320846,0.0622568093385214,-0.062454273862918915,190.0,1.6229470161230308,1,0.0
HP iPAQ h6315,HP,iPAQ h6315,2004-12-01,2004.0,3.5,1.7760597257365136,0.0622568093385214,0.9539906967221511,,,VGA,Yes,No,Silver,,,1800.0,3.0237505940320846,0.0622568093385214,-0.062454273862918915,190.0,1.6229470161230308,1,0.0
HP iPAQ h6320,HP,iPAQ h6320,2004-12-01,2004.0,3.5,1.7760597257365136,0.0622568093385214,0.9539906967221511,,,,Yes,No,Silver,190.0,0.16572980333363246,1800.0,3.0237505940320846,0.0622568093385214,-0.062454273862918915,190.0,1.6229470161230308,1,0.0
HP iPAQ h6325,HP,iPAQ h6325,2004-12-01,2004.0,3.5,1.7760597257365136,0.0622568093385214,0.9539906967221511,,,VGA,Yes,No,Silver,180.0,0.09470274476207573,1800.0,3.0237505940320846,0.0622568093385214,-0.062454273862918915,190.0,1.6229470161230308,1,0.0
LG F7250,LG,F7250,2004-12-01,2004.0,1.9,-0.598878227751451,0.0009727626459143,-1.0344538655239288,,,,No,No,V1,,,950.0,-0.10269753914453175,,,115.0,-0.30015646865366086,1,0.0
LG G1700,LG,G1700,2004-12-01,2004.0,1.6,-1.044179094030444,,,,,,Yes,No,V1,,,700.0,-1.0222411077258895,,,80.0,-1.1976047615494503,1,0.0
LG G1800,LG,G1800,2004-12-01,2004.0,1.6,-1.044179094030444,0.0622568093385214,0.9539906967221511,,,,No,No,V1,,,720.0,-0.9486776222393808,,,78.0,-1.2488875211434953,1,0.0
Mitac MIO 8870,Mitac,MIO 8870,2004-12-01,2004.0,2.2,-0.15357736147245726,0.0311284046692607,-0.05601289045045935,,,VGA,Yes,No,V1,,,1050.0,0.2651198882880113,,,120.0,-0.1719495696685481,1,0.0
Mitsubishi M430i/M900,Mitsubishi,M430i/M900,2004-09-01,2004.0,2.2,-0.15357736147245726,0.0145914396887159,-0.5925772961359104,3.0,-0.03532223996729148,1.3 MP| LED flash,Yes,No,Silver,,,810.0,-0.617641937550092,,,125.0,-0.04374267068343533,1,0.0
Motorola A1000,Motorola,A1000,2004-01-01,2004.0,2.9,0.8854579931785268,0.0233463035019455,-0.3085137872436128,3.0,-0.03532223996729148,1.3 MP,Yes with stereo speakers,Yes with A-GPS,Grey,,,1600.0,2.288115739166998,,,160.0,0.8537056222123541,1,0.0
Motorola A780,Motorola,A780,2004-09-01,2004.0,2.5,0.29172350480653586,0.046692607003891,0.44898890313584433,3.0,-0.03532223996729148,1.3 MP,Yes,Yes,V1,,,780.0,-0.727987165779855,,,141.0,0.3665194060689255,1,0.0
Motorola C975,Motorola,C975,2004-09-01,2004.0,1.9,-0.598878227751451,0.0068093385214007,-0.8450781929290638,,,VGA,Yes,No,V1,,,820.0,-0.5808601948068377,,,139.0,0.3152366464748804,1,0.0
Motorola C980,Motorola,C980,2004-09-01,2004.0,1.9,-0.598878227751451,0.0038910505836575,-0.9397660292264963,,,VGA,Yes,No,V1,,,820.0,-0.5808601948068377,,,139.0,0.3152366464748804,1,0.0
Motorola E1000,Motorola,E1000,2004-01-01,2004.0,2.3,-0.005143739379459994,0.0155642023346303,-0.5610146840367661,2.0,-0.3002390397219777,1.2 MP| LED flash,Yes with stereo speakers,Yes,Black,,,820.0,-0.5808601948068377,,,140.0,0.340878026271903,1,0.0
Motorola E398,Motorola,E398,2004-01-01,2004.0,1.9,-0.598878227751451,0.0048638132295719,-0.9082034171273522,,,VGA| LED flash,Yes with stereo speakers (16 mm 22 Khz with vibration),No,V1,,,830.0,-0.5440784520635834,,,108.0,-0.47964612723281874,1,0.0
Motorola E680,Motorola,E680,2004-01-01,2004.0,2.5,0.29172350480653586,0.0486381322957198,0.5121141273341326,,,VGA,Yes with stereo speakers,No,Satin Silver,,,780.0,-0.727987165779855,,,133.0,0.16138836769274512,1,0.0
Motorola MPx,Motorola,MPx,2004-01-01,2004.0,2.8,0.7370243710855289,0.0311284046692607,-0.05601289045045935,3.0,-0.03532223996729148,1.3 MP| LED flash,No,No,V1,,,960.0,-0.06591579640127744,,,174.0,1.2126849393706698,1,0.0
Motorola MPx220,Motorola,MPx220,2004-01-01,2004.0,2.0,-0.45044460565845307,0.0622568093385214,0.9539906967221511,3.0,-0.03532223996729148,1.3 MP| LED flash,Yes,No,Silver,,,1000.0,0.08121117457173979,,,110.0,-0.42836336763877364,1,0.0
Motorola RAZR V3,Motorola,RAZR V3,2004-09-01,2004.0,2.2,-0.15357736147245726,0.0048638132295719,-0.9082034171273522,,,VGA,Yes,No,Silver| Black (Special Edition),100.0,-0.4735137238103782,680.0,-1.095804593212398,,,95.0,-0.812984064594112,1,0.0
Motorola V975,Motorola,V975,2004-09-01,2004.0,1.9,-0.598878227751451,0.0155642023346303,-0.5610146840367661,,,VGA,No,No,Silver,,,930.0,-0.17626102463104037,,,137.0,0.2639538868808353,1,0.0
Motorola V980,Motorola,V980,2004-09-01,2004.0,1.9,-0.598878227751451,0.0019455252918287,-1.0028912534247847,,,VGA| LED flash,Yes,No,Black,,,820.0,-0.5808601948068377,,,137.0,0.2639538868808353,1,0.0
NEC N400i,NEC,N400i,2004-03-01,2004.0,2.2,-0.15357736147245726,0.0038910505836575,-0.9397660292264963,,,VGA| LED flash,No,No,V1,,,950.0,-0.10269753914453175,,,110.0,-0.42836336763877364,1,0.0
NEC N410i,NEC,N410i,2004-03-01,2004.0,2.2,-0.15357736147245726,0.0311284046692607,-0.05601289045045935,3.0,-0.03532223996729148,1.3 MP| LED flash,No,No,V1,,,950.0,-0.10269753914453175,,,118.0,-0.2232323292625932,1,0.0
NEC N840,NEC,N840,2004-12-01,2004.0,2.2,-0.15357736147245726,0.0311284046692607,-0.05601289045045935,2.0,-0.3002390397219777,2 MP| LED flash,No,No,Silver,,,1100.0,0.44902860200428285,,,118.0,-0.2232323292625932,1,0.0
NEC e101,NEC,e101,2004-12-01,2004.0,1.8,-0.7473118498444485,,,,,VGA,No,No,Silver,,,780.0,-0.727987165779855,,,85.0,-1.0693978625643374,1,0.0
NEC e228,NEC,e228,2004-06-01,2004.0,2.2,-0.15357736147245726,0.0184824902723735,-0.4663268477393337,,,VGA,No,No,V1,,,1100.0,0.44902860200428285,,,125.0,-0.04374267068343533,1,0.0
NEC e338,NEC,e338,2004-09-01,2004.0,2.0,-0.45044460565845307,,,,,CIF| rotating lens,Yes,No,V1,,,1300.0,1.184663456869369,,,114.0,-0.32579784845068344,1,0.0
Nokia 2600,Nokia,2600,2004-06-01,2004.0,1.5,-1.192612716123442,0.0038910505836575,-0.9397660292264963,,,,Yes,No,Iron blue| Tree green,,,820.0,-0.5808601948068377,,,94.0,-0.8386254443911345,1,0.0
Nokia 3120,Nokia,3120,2004-06-01,2004.0,1.6,-1.044179094030444,,,,,,Yes,No,Lime Tree Green| Iron Blue,,,820.0,-0.5808601948068377,,,84.0,-1.0950392423613602,1,0.0
Nokia 3220,Nokia,3220,2004-06-01,2004.0,1.5,-1.192612716123442,0.0029182879377431,-0.9713286413256406,,,VGA,Yes,No,Red| Blue,,,760.0,-0.8015506512663636,,,86.0,-1.043756482767315,1,0.0
Nokia 3230,Nokia,3230,2004-12-01,2004.0,2.1,-0.3020109835654552,0.0058365758754863,-0.8766408050282081,23.0,5.263013755126432,1.23 MP,Yes,No,Black| Red,100.0,-0.4735137238103782,760.0,-0.8015506512663636,,,110.0,-0.42836336763877364,1,0.0
Nokia 6020,Nokia,6020,2004-12-01,2004.0,1.5,-1.192612716123442,0.0048638132295719,-0.9082034171273522,,,VGA,Yes,No,Graphite,,,760.0,-0.8015506512663636,,,90.0,-0.9411909635792247,1,0.0
Nokia 6170,Nokia,6170,2004-09-01,2004.0,2.0,-0.45044460565845307,0.0019455252918287,-1.0028912534247847,,,VGA,Yes,No,Silver,,,760.0,-0.8015506512663636,,,121.0,-0.14630818987152555,1,0.0
Nokia 6260,Nokia,6260,2004-06-01,2004.0,2.1,-0.3020109835654552,0.0058365758754863,-0.8766408050282081,,,VGA,Yes,No,2 - Silver| Black,,,760.0,-0.8015506512663636,,,125.0,-0.04374267068343533,1,0.0
Nokia 6610i,Nokia,6610i,2004-01-01,2004.0,1.5,-1.192612716123442,0.0038910505836575,-0.9397660292264963,,,CIF,Yes,No,3 - Black| White| Grey,,,780.0,-0.727987165779855,,,87.0,-1.0181151029702924,1,0.0
Nokia 6620,Nokia,6620,2004-01-01,2004.0,2.1,-0.3020109835654552,0.0116731517509727,-0.687265132433343,,,VGA,Yes,No,Light Gray,,,850.0,-0.4705149665770748,,,122.0,-0.120666810074503,1,0.0
Nokia 6630,Nokia,6630,2004-06-01,2004.0,2.1,-0.3020109835654552,0.0097276264591439,-0.7503903566316313,3.0,-0.03532223996729148,1.3 MP,Yes,No,Light Gray,,,900.0,-0.28660625286080327,,,127.0,0.007540088910609781,1,0.0
Nokia 6670,Nokia,6670,2004-09-01,2004.0,2.1,-0.3020109835654552,0.0077821011673151,-0.8135155808299197,1.0,-0.5651558394766639,1 MP,Yes,No,Deep Blue| Aluminum Grey,,,900.0,-0.28660625286080327,,,120.0,-0.1719495696685481,1,0.0
Nokia 7260,Nokia,7260,2004-01-01,2004.0,1.6,-1.044179094030444,,,,,VGA,No,No,V1,,,760.0,-0.8015506512663636,,,92.0,-0.8899082039851797,1,0.0
Nokia 7270,Nokia,7270,2004-01-01,2004.0,2.0,-0.45044460565845307,0.0311284046692607,-0.05601289045045935,,,VGA,Yes,No,V1,,,780.0,-0.727987165779855,,,121.0,-0.14630818987152555,1,0.0
Nokia 7610,Nokia,7610,2004-03-01,2004.0,2.1,-0.3020109835654552,0.0077821011673151,-0.8135155808299197,1.0,-0.5651558394766639,1 MP,Yes,No,Ruby and Onyx,,,900.0,-0.28660625286080327,,,118.0,-0.2232323292625932,1,0.0
Nokia 7710,Nokia,7710,2004-01-01,2004.0,3.5,1.7760597257365136,0.0875486381322957,1.7746186112998965,1.0,-0.5651558394766639,1 MP,Yes,No,V1,,,1300.0,1.184663456869369,,,189.0,1.597305636326008,1,0.0
Nokia 9300,Nokia,9300,2004-01-01,2004.0,4.0,2.5182278362015027,0.0778210116731517,1.4589924903084546,,,,Yes,No,V1,,,970.0,-0.029134053658023136,,,167.0,1.033195280791512,1,0.0
Nokia 9500,Nokia,9500,2004-01-01,2004.0,4.5,3.2603959466664914,0.0778210116731517,1.4589924903084546,,,VGA,Yes,No,Tin Grey,430.0,1.8703792090509945,1300.0,1.184663456869369,,,230.0,2.648602208003933,1,0.0
Nokia N-Gage QD,Nokia,N-Gage QD,2004-01-01,2004.0,2.1,-0.3020109835654552,0.0038910505836575,-0.9397660292264963,,,,Yes,No,V1,,,1070.0,0.33868337377451996,,,143.0,0.4178021656629707,1,0.0
O2 XDA II mini,O2,XDA II mini,2004-12-01,2004.0,2.8,0.7370243710855289,0.0622568093385214,0.9539906967221511,3.0,-0.03532223996729148,1.3 MP,Yes,No,Stylish black| silver,,,1200.0,0.8168460294368259,0.0622568093385214,-0.062454273862918915,150.0,0.5972918242421286,1,0.0
O2 XDA IIi,O2,XDA IIi,2004-12-01,2004.0,3.5,1.7760597257365136,0.0933852140077821,1.9639942838947617,3.0,-0.03532223996729148,1.3 MP,Yes,No,V1,,,1200.0,0.8168460294368259,0.1245136186770428,1.748719668161738,190.0,1.6229470161230308,1,0.0
O2 XDA IIs,O2,XDA IIs,2004-12-01,2004.0,3.5,1.7760597257365136,0.0933852140077821,1.9639942838947617,,,VGA,Yes,No,V1,,,1490.0,1.8835165689912008,0.1245136186770428,1.748719668161738,210.0,2.1357746120634817,1,0.0
Panasonic X300,Panasonic,X300,2004-01-01,2004.0,1.5,-1.192612716123442,0.0029182879377431,-0.9713286413256406,,,VGA,No,No,Silver| Red| Gold,,,780.0,-0.727987165779855,,,87.0,-1.0181151029702924,1,0.0
Panasonic X700,Panasonic,X700,2004-01-01,2004.0,2.0,-0.45044460565845307,0.0077821011673151,-0.8135155808299197,,,VGA| LED flash,Yes,No,,,,780.0,-0.727987165779855,,,107.0,-0.5052875070298413,1,0.0
Pantech GB300,Pantech,GB300,2004-06-01,2004.0,1.6,-1.044179094030444,0.0019455252918287,-1.0028912534247847,,,,No,No,Blue| Silver| Red,,,850.0,-0.4705149665770748,,,72.0,-1.4027357999256307,1,0.0
Qtek 2020,Qtek,2020,2004-06-01,2004.0,3.5,1.7760597257365136,,,,,VGA,Yes,No,Silver,,,1200.0,0.8168460294368259,0.0622568093385214,-0.062454273862918915,190.0,1.6229470161230308,1,0.0
Qtek 2020i,Qtek,2020i,2004-06-01,2004.0,3.5,1.7760597257365136,0.1245136186770428,2.9739978710673722,3.0,-0.03532223996729148,1.3 MP,Yes,No,Silver,,,1300.0,1.184663456869369,0.1245136186770428,1.748719668161738,190.0,1.6229470161230308,1,0.0
Qtek 7070,Qtek,7070,2004-01-01,2004.0,2.2,-0.15357736147245726,0.0311284046692607,-0.05601289045045935,,,,Yes,No,V1,,,1000.0,0.08121117457173979,0.0155642023346303,-1.420834730381413,120.0,-0.1719495696685481,1,0.0
Qtek 8010,Qtek,8010,2004-06-01,2004.0,2.2,-0.15357736147245726,,,,,VGA,Yes,No,Cool metallic| Light blue,,,1050.0,0.2651198882880113,0.0311284046692607,-0.9680412448752475,106.0,-0.5309288868268639,1,0.0
Qtek 8020,Qtek,8020,2004-09-01,2004.0,2.2,-0.15357736147245726,,,,,VGA,Yes,No,Stylish black and silver,,,1050.0,0.2651198882880113,0.0311284046692607,-0.9680412448752475,102.0,-0.6334944060149541,1,0.0
